FaktyTVN konkret24 19
FaktyTVN tvn24 809
tvp_info RadioZET_NEWS 1
tvp_info WiadomosciTVP 4
tvn24 konkret24 37
tvn24 FaktyTVN 27
DemagogPL konkret24 1
konkret24 tvn24 3
