RepublikaTV,135.6
Matka_Kurka,123.7
tvp_info,99.8
rzeczpospolita,95.3
tvn24,81.9
OnetWiadomosci,80.6
Interia_Fakty,52.3
RadioZET_NEWS,47.1
wgospodarce,42.1
gazeta_wyborcza,30.3
KRESYPL,30
FaktyTVN,29
niezaleznapl,28.8
WiadomosciTVP,21.3
bankier_pl,16.6
dlapolski,16.3
oko_press,13.1
MediaNarodoweMN,12.2
wPrawopl,10.1
