MediaNarodoweMN medianarodowe.com 219
niezaleznapl niezalezna.pl 1607
RepublikaTV twitter.com 803
RepublikaTV www.youtube.com 280
RepublikaTV telewizjarepublika.pl 862
wPrawopl wprawo.pl 196
wSensie wsensie.pl 113
medialne centrummedialne.pl 144
dlapolski rozmowy.eu 159
dlapolski www.dlapolski.pl 186
Matka_Kurka twitter.com 625
Matka_Kurka www.kontrowersje.net 44
Interia_Fakty fakty.interia.pl 1191
bankier_pl www.bankier.pl 369
bankier_pl Bankier.pl 46
WiadomosciTVP wiadomosci.tvp.pl 286
wgospodarce wgospodarce.pl 918
KRESYPL kresy.pl 646
natematpl natemat.pl 108
FaktyTVN fakty.tvn24.pl 541
FaktyTVN go.tvn24.pl 61
rzeczpospolita www.rp.pl 2071
OnetWiadomosci wiadomosci.onet.pl 2243
tvp_info www.tvp.info 1417
tvp_info tvp.info 431
tvn24 twitter.com 42
tvn24 tvn24.pl 1365
tvn24 go.tvn24.pl 326
gazeta_wyborcza wyborcza.pl 502
gazetapl_news wiadomosci.gazeta.pl 33
konkret24 konkret24.tvn24.pl 44
oko_press oko.press 268
