medialne,69.3
oko_press,51.4
tvp_info,40
gazeta_wyborcza,33.9
Matka_Kurka,31.9
RadioZET_NEWS,30.6
konkret24,27
WiadomosciTVP,26.5
natematpl,21.7
gazetapl_news,21.6
tvn24,20
wSensie,15.7
wPrawopl,15.4
MediaNarodoweMN,15
rzeczpospolita,12.6
OnetWiadomosci,11.2
DemagogPL,7.6
niezaleznapl,7.3
RepublikaTV,7
